aphia_id,ds_key,lyr_key,path_tif,category,rl_score,url,scientificname,authority,status,unacceptreason,taxon_rank_id,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,citation,lsid,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,modified
105788,am,am_105788,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105788.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105788,Carcharhinus brevipinna,"(Müller & Henle, 1839)",accepted,NA,220,Species,105788,Carcharhinus brevipinna,"(Müller & Henle, 1839)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus brevipinna (Müller & Henle, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105788 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105788,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105789,am,am_105789,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105789.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105789,Carcharhinus falciformis,"(Müller & Henle, 1839)",accepted,NA,220,Species,105789,Carcharhinus falciformis,"(Müller & Henle, 1839)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus falciformis (Müller & Henle, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105789 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105789,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105792,am,am_105792,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105792.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105792,Carcharhinus leucas,"(Müller & Henle, 1839)",accepted,NA,220,Species,105792,Carcharhinus leucas,"(Müller & Henle, 1839)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus leucas (Müller & Henle, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105792 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105792,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
105793,am,am_105793,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105793.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105793,Carcharhinus limbatus,"(Müller & Henle, 1839)",accepted,NA,220,Species,105793,Carcharhinus limbatus,"(Müller & Henle, 1839)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus limbatus (Müller & Henle, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105793 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105793,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
105794,am,am_105794,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105794.tif,CR,4,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105794,Carcharhinus longimanus,"(Poey, 1861)",accepted,NA,220,Species,105794,Carcharhinus longimanus,"(Poey, 1861)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus longimanus (Poey, 1861). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105794 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105794,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105796,am,am_105796,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105796.tif,EN,3,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105796,Carcharhinus obscurus,"(Lesueur, 1818)",accepted,NA,220,Species,105796,Carcharhinus obscurus,"(Lesueur, 1818)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus obscurus (Lesueur, 1818). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105796 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105796,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
105797,am,am_105797,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105797.tif,EN,3,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105797,Carcharhinus plumbeus,"(Nardo, 1827)",accepted,NA,220,Species,105797,Carcharhinus plumbeus,"(Nardo, 1827)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus plumbeus (Nardo, 1827). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105797 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105797,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
105798,am,am_105798,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105798.tif,EN,3,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105798,Carcharhinus signatus,"(Poey, 1868)",accepted,NA,220,Species,105798,Carcharhinus signatus,"(Poey, 1868)",105719,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharhinus signatus (Poey, 1868). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105798 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105798,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105816,am,am_105816,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105816.tif,CR,4,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105816,Sphyrna lewini,"(Griffith & Smith, 1834)",accepted,NA,220,Species,105816,Sphyrna lewini,"(Griffith & Smith, 1834)",105730,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Sphyrna lewini (Griffith & Smith, 1834). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105816 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105816,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
105820,am,am_105820,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105820.tif,CR,4,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105820,Galeorhinus galeus,"(Linnaeus, 1758)",accepted,NA,220,Species,105820,Galeorhinus galeus,"(Linnaeus, 1758)",105731,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Galeorhinus galeus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105820 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105820,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
