block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
1,4708,20,38599.166666666664,6,19,NA,NA,792,12,NA,NA,1467.2688598632812,20.5
2,4708,20,38600,6,19,NA,NA,792,12,NA,NA,1463.233154296875,20
3,4708,20,38599.666666666664,6,19,NA,NA,792,12,NA,NA,1471.9147135416667,21
4,4708,20,38599.5,6,19,NA,NA,791.8333333333334,12,NA,NA,1459.112569173177,20
5,4708,20,38600,6,19,NA,NA,791,12,NA,NA,1451.8178100585938,20
6,4708,20,38600.5,6,19,NA,NA,791,12,NA,NA,1447.643290201823,20
7,4708,20,38600,6,19,NA,NA,792,12,NA,NA,1466.9634738498264,20.444444444444443
8,4708,20,38600.166666666664,6,19,NA,NA,792,12,NA,NA,1474.995096842448,21
9,4708,20,38599.833333333336,6,19,NA,NA,792,12,NA,NA,1461.9989827473958,20
10,4708,20,38600.5,6,19,NA,NA,792,12,NA,NA,1469.1785278320312,20.75
11,4708,20,38601,6,19,NA,NA,792,12,NA,NA,1458.1981608072917,20
12,4708,20,38600.25,6,19,NA,NA,792,12,NA,NA,1464.7253723144531,20
13,4708,20,38599.42857142857,6,19,NA,NA,791.5714285714286,12,NA,NA,1470.7719029017858,20.857142857142858
14,4708,20,38601.11111111111,6,19,NA,NA,791.7777777777778,12,NA,NA,1453.1821153428818,20
15,4708,20,38600.166666666664,6,19,NA,NA,792,12,NA,NA,1458.8484497070312,20
16,4708,20,38598.666666666664,6,19,NA,NA,791,12,NA,NA,1463.1504923502605,20
17,13264.098765432098,58,168586.1234567901,31,55.4320987654321,NA,NA,3095.567901234568,50,NA,NA,2315.6096131124614,34.71604938271605
18,13268.345679012345,58,168586.53086419753,31,55.39506172839506,NA,NA,3095.8395061728397,50,NA,NA,2306.3853202160494,34.617283950617285
19,13276.382716049382,58,168588.44444444444,31,55.333333333333336,NA,NA,3096.4938271604938,50,NA,NA,2290.9948398919755,34.333333333333336
20,13267.530864197532,58,168586.02469135803,31,54.55555555555556,NA,NA,3096.703703703704,50,NA,NA,2145.9138967255017,32
21,13271.444444444445,58,168586.8765432099,31,54.46913580246913,NA,NA,3096.9506172839506,50,NA,NA,2133.1863636911653,31.691358024691358
22,13281.160493827161,58,168589.37037037036,31,54.382716049382715,NA,NA,3097,50,NA,NA,2116.2798891420716,31.382716049382715
23,13259.506172839507,58,168584.67901234567,31,53.666666666666664,NA,NA,3097,50,NA,NA,1982.343421465085,29.11111111111111
24,13270.296296296296,58,168587.23456790124,31,53.666666666666664,NA,NA,3097,50,NA,NA,1976.5254132306134,29
25,13279.95061728395,58,168589.13580246913,31,53.55555555555556,NA,NA,3097,50,NA,NA,1960.3010012779707,28.790123456790123
26,13291.296296296296,58,168591.86419753087,31,53.49382716049383,NA,NA,3097,50,NA,NA,1941.8812557267554,28.469135802469136
27,13260.962962962964,58,168587.2098765432,31,52.96296296296296,NA,NA,3097,50,NA,NA,1828.2777973693094,26.59259259259259
28,13268,58,168587,31,52.79012345679013,NA,NA,3097,50,NA,NA,1810.065043885031,26.234567901234566
29,13281.41975308642,58,168589.9012345679,31,52.65432098765432,NA,NA,3097,50,NA,NA,1790.5259015118634,25.91358024691358
30,13296.567901234568,58,168593.53086419753,31,52.55555555555556,NA,NA,3097,50,NA,NA,1770.6703905647184,25.641975308641975
31,13262.703703703704,58,168566.13580246913,31,52.02469135802469,NA,NA,3096.5308641975307,50,NA,NA,1719.2567590784145,24.679012345679013
32,13274.197530864198,58,168551.86419753087,31,52,NA,NA,3096.2098765432097,50,NA,NA,1700.3477270809221,24.444444444444443
33,13285.086419753086,58,168545.61728395062,31,52,NA,NA,3096.0246913580245,50,NA,NA,1680.5942623939043,24.11111111111111
34,13289.691358024691,58,168551.59259259258,31,52,NA,NA,3096.1111111111113,50,NA,NA,1660.6240656346451,23.691358024691358
35,18112,80,234972.5,43,65,NA,NA,3671,59,NA,NA,1551.3861694335938,22
36,18112,80,234973.83333333334,43,65,NA,NA,3671,59,NA,NA,1544.7922770182292,21.833333333333332
37,18112,80,234974.25,43,65,NA,NA,3671,59,NA,NA,1538.053955078125,21.5
38,18112,80,234972,43,65,NA,NA,3671,59,NA,NA,1479.5207824707031,20.5
39,18112,80,234973,43,65,NA,NA,3671,59,NA,NA,1474.3233032226562,20.5
40,18112,80,234970,43,64.33333333333333,NA,NA,3671,59,NA,NA,1391.4002075195312,19.333333333333332
41,18108,80,234973,43,64,NA,NA,3671,59,NA,NA,1253.9194030761719,17
42,18108,80,234973,43,63.166666666666664,NA,NA,3671,59,NA,NA,1219.7251586914062,16.333333333333332
43,18108,80,234972.33333333334,43,63.44444444444444,NA,NA,3671.1111111111113,59,NA,NA,1231.2814263237847,16.555555555555557
44,18108,80,234972.5,43,63,NA,NA,3672,59,NA,NA,1184.7823486328125,16
45,18108,80,234971.66666666666,43,63,NA,NA,3672,59,NA,NA,1194.5225219726562,16
46,17966.5,79,245595.5,45,65,NA,NA,3958,64,NA,NA,1158.0514526367188,15
47,17966.5,79,245595.5,45,65,NA,NA,3958,64,NA,NA,1166.4023030598958,15.5
48,18108,80,234972.83333333334,43,63.666666666666664,NA,NA,3671.8333333333335,59,NA,NA,1242.583964029948,16.833333333333332
49,18108,80,234973.33333333334,43,64,NA,NA,3672,59,NA,NA,1251.5374552408855,17
50,18108,80,234972.57142857142,43,64,NA,NA,3672,59,NA,NA,1257.7904227120537,17
51,18108,80,234970.75,43,64,NA,NA,3672,59,NA,NA,1266.0169677734375,17
52,18108,80,234971.75,43,63,NA,NA,3672,59,NA,NA,1204.048828125,16
53,18108,80,234972,43,63,NA,NA,3672,59,NA,NA,1211.59521484375,16
54,18108,80,234971,43,63.166666666666664,NA,NA,3672,59,NA,NA,1221.2511189778645,16.333333333333332
55,18108,80,234969.5,43,63.5,NA,NA,3672,59,NA,NA,1230.7353515625,16.5
56,17966.5,79,245595.5,45,65,NA,NA,3958,64,NA,NA,1174.5697937011719,15.5
